iter	Passed	Remaining
0	1	142
1	3	163
2	4	141
3	5	122
4	6	116
5	7	112
6	8	117
7	10	115
8	11	111
9	12	108
10	13	106
11	14	104
12	15	105
13	16	103
14	17	101
15	18	99
16	20	97
17	20	93
18	22	94
19	23	93
20	24	91
21	25	90
22	26	89
23	28	89
24	29	88
25	30	87
26	31	86
27	32	84
28	34	83
29	35	82
30	36	81
31	37	80
32	38	78
33	39	77
34	41	77
35	42	75
36	43	74
37	44	73
38	45	71
39	47	70
40	48	69
41	49	68
42	50	66
43	51	65
44	52	64
45	54	63
46	55	62
47	56	61
48	57	59
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	53
55	65	51
56	67	51
57	68	49
58	69	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	109	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	116	1
99	117	0
